문화자원	 원도심	 음식점	 빈해원	 문화유적	0	0	 대표검색	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850679111884433751!2y6484208876734377267!2m2!1i
문화자원	 원도심	 음식점	 복성루	0	0	0	 대표검색	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850678893125118409!2y16093473905894363575!2m2!1i
문화자원	 원도심	 음식점	 이성당	0	0	0	 대표검색	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850678933882816867!2y3901942423002954982!2m2!1i
문화자원	 원도심	 음식점	 지린성	0	0	0	 대표검색	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850678894271125835!2y13229977922332379966!2m2!1i
문화자원	 원도심	 음식점	 한일옥	0	0	0	 대표검색	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850678906622661973!2y5939428480572300442!2m2!1i
문화자원	 타지역	 근대문학	 채만식문학관	0	 시간여행마을	 관광명소	0	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850680022630075983!2y8177559925894240801!2m2!1i
문화자원	 타지역	 폐철길	 경암동 철길마을	0	0	 관광명소	 대표검색	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850679250409963393!2y410749873354671002!2m2!1i
기타	0	 근대종교건축	 둔율동 성당	 문화유적	 시간여행마을	0	0	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850678917731900223!2y16294028597465255953!2m2!1i
기타	0	 군산역사	 군산대학교 박물관	0	0	 관광명소	0	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850676045465661193!2y118552771602640261!2m2!1i
기타	0	 행사장	 군산 새만금 컨벤션 센터	0	0	 관광명소	0	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850849868338112197!2y7635854954503207420!2m2!1i
기타	0	 새만금	 새만금방조재(새만금 홍보관)	0	0	 관광명소	0	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850866736790250833!2y8315757951912323877!2m2!1i
기타	0	 공원	 어린이교통공원	0	0	 관광명소	0	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850850077553280905!2y8611913981232856022!2m2!1i
기타	0	 공원	 새만금 비응공원	0	0	 관광명소	0	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850852473899934677!2y11294760911774262806!2m2!1i
기타	0	 자연자원	 오성산	0	0	 관광명소	0	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850650994905119007!2y3562733088289874147!2m2!1i
기타	0	 자연자원	 청암산	0	0	 관광명소	0	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850677826132197949!2y12160900265391842293!2m2!1i
기타	0	 자연자원	 대각산	0	0	 관광명소	0	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850862992902709279!2y4176307059282499390!2m2!1i
기타	0	 자연자원	 은파호수공원	0	0	 관광명소	0	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850678630671368765!2y5523467647288961291!2m2!1i
기타	0	 자연자원	 금강철새조망대	0	0	 관광명소	0	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850680333952328945!2y7201383751175575361!2m2!1i
기타	0	 자연자원	 금강호 시민공원	0	0	 관광명소	0	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850680025784174461!2y620064102559804899!2m2!1i
기타	0	 자연자원	 금강하구둑	0	0	 관광명소	0	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850680437278281365!2y3775315991809377407!2m2!1i
기타	0	 자연자원	 생태습지공원	0	0	 관광명소	0	0	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850680330494433833!2y7294759417266984987!2m2!1i
